region,region_ja,timezone,city,country,city_ja,country_ja
Africa,アフリカ,Africa/Abidjan,Abidjan,Ivory Coast,アビジャン,コートジボワール
Africa,アフリカ,Africa/Accra,Accra,Ghana,アクラ,ガーナ
Africa,アフリカ,Africa/Addis_Ababa,Addis Ababa,Ethiopia,アジスアベバ,エチオピア
Africa,アフリカ,Africa/Algiers,Algiers,Algeria,アルジェ,アルジェリア
Africa,アフリカ,Africa/Asmara,Asmara,Eritrea,アスマラ,エリトリア
Africa,アフリカ,Africa/Bamako,Bamako,Mali,バマコ,マリ
Africa,アフリカ,Africa/Bangui,Bangui,Central African Republic,バンギ,中央アフリカ共和国
Africa,アフリカ,Africa/Banjul,Banjul,Gambia,バンジュール,ガンビア
Africa,アフリカ,Africa/Bissau,Bissau,Guinea-Bissau,ビサウ,ギニアビサウ
Africa,アフリカ,Africa/Blantyre,Blantyre,Malawi,ブランタイア,マラウィ
Africa,アフリカ,Africa/Brazzaville,Brazzaville,Congo,ブラザビル,コンゴ
Africa,アフリカ,Africa/Bujumbura,Bujumbura,Burundi,ブジュンブラ,ブルンジ
Africa,アフリカ,Africa/Cairo,Cairo,Egypt,カイロ,エジプト
Africa,アフリカ,Africa/Casablanca,Casablanca,Morocco,カサブランカ,モロッコ
Africa,アフリカ,Africa/Ceuta,Ceuta,Spain,セウタ,スペイン
Africa,アフリカ,Africa/Conakry,Conakry,Guinea,コナクリ,ギニア
Africa,アフリカ,Africa/Dakar,Dakar,Senegal,ダカール,セネガル
Africa,アフリカ,Africa/Dar_es_Salaam,Dar es Salaam,Tanzania,ダルエスサラーム,タンザニア
Africa,アフリカ,Africa/Djibouti,Djibouti,Djibouti,ジブチ,ジブチ
Africa,アフリカ,Africa/Douala,Douala,Cameroon,ドゥアラ,カメルーン
Africa,アフリカ,Africa/El_Aaiun,Laayoune,Western Sahara,アイウン,西サハラ
Africa,アフリカ,Africa/Freetown,Freetown,Sierra Leone,フリータウン,シエラレオネ
Africa,アフリカ,Africa/Gaborone,Gaborone,Botswana,ハボローネ,ボツワナ
Africa,アフリカ,Africa/Harare,Harare,Zimbabwe,ハラレ,ジンバブエ
Africa,アフリカ,Africa/Johannesburg,Johannesburg,South Africa,ヨハネスブルグ,南アフリカ
Africa,アフリカ,Africa/Juba,Juba,South Sudan,ジュバ,南スーダン
Africa,アフリカ,Africa/Kampala,Kampala,Uganda,カンパラ,ウガンダ
Africa,アフリカ,Africa/Khartoum,Khartoum,Sudan,ハルツーム,スーダン
Africa,アフリカ,Africa/Kigali,Kigali,Rwanda,キガリ,ルワンダ
Africa,アフリカ,Africa/Kinshasa,Kinshasa,Democratic Republic of the Congo,キンシャサ,コンゴ民主共和国
Africa,アフリカ,Africa/Lagos,Lagos,Nigeria,ラゴス,ナイジェリア
Africa,アフリカ,Africa/Libreville,Libreville,Gabon,リーブルビル,ガボン
Africa,アフリカ,Africa/Lome,Lomé,Togo,ロメ,トーゴ
Africa,アフリカ,Africa/Luanda,Luanda,Angola,ルアンダ,アンゴラ
Africa,アフリカ,Africa/Lubumbashi,Lubumbashi,Democratic Republic of the Congo,ルブンバシ,コンゴ民主共和国
Africa,アフリカ,Africa/Lusaka,Lusaka,Zambia,ルサカ,ザンビア
Africa,アフリカ,Africa/Malabo,Malabo,Equatorial Guinea,マラボ,赤道ギニア
Africa,アフリカ,Africa/Maputo,Maputo,Mozambique,マプト,モザンビーク
Africa,アフリカ,Africa/Maseru,Maseru,Lesotho,マセル,レソト
Africa,アフリカ,Africa/Mbabane,Mbabane,Swaziland,ムババネ,スワジランド
Africa,アフリカ,Africa/Mogadishu,Mogadishu,Somalia,モガディシュ,ソマリア
Africa,アフリカ,Africa/Monrovia,Monrovia,Liberia,モンロビア,リベリア
Africa,アフリカ,Africa/Nairobi,Nairobi,Kenya,ナイロビ,ケニア
Africa,アフリカ,Africa/Ndjamena,Ndjamena,Chad,ヌジャメナ,チャド
Africa,アフリカ,Africa/Niamey,Niamey,Niger,ニアメ,ニジェール
Africa,アフリカ,Africa/Nouakchott,Nouakchott,Mauritania,ヌアクショット,モーリタニア
Africa,アフリカ,Africa/Ouagadougou,Ouagadougou,Burkina Faso,ワガドゥグー,ブルキナファソ
Africa,アフリカ,Africa/Porto-Novo,Porto-Novo,Benin,ポルトノボ,ベナン
Africa,アフリカ,Africa/Sao_Tome,São Tomé,São Tomé and Príncipe,サントメ,サントメプリンシペ
Africa,アフリカ,Africa/Tripoli,Tripoli,Libya,トリポリ,リビア
Africa,アフリカ,Africa/Tunis,Tunis,Tunisia,チュニス,チュニジア
Africa,アフリカ,Africa/Windhoek,Windhoek,Namibia,ウィントフック,ナミビア
America,アメリカ,America/Adak,Adak,U.S.A.,エイダク,米国
America,アメリカ,America/Anchorage,Anchorage,U.S.A.,アンカレッジ,米国
America,アメリカ,America/Anguilla,The Valley,Anguilla,バレー,アンギラ
America,アメリカ,America/Antigua,St. John's,Antigua and Barbuda,セントジョンズ,アンティグア・バーブーダ
America,アメリカ,America/Araguaina,Araguaina,Brazil,アラグァイナ,ブラジル
America,アメリカ,America/Argentina/Buenos_Aires,Buenos Aires,Argentina,ブエノスアイレス,アルゼンチン
America,アメリカ,America/Argentina/Catamarca,Catamarca,Argentina,カタマルカ,アルゼンチン
America,アメリカ,America/Argentina/Cordoba,Cordoba,Argentina,コルドバ,アルゼンチン
America,アメリカ,America/Argentina/Jujuy,San Salvador de Jujuy,Argentina,サン・サルバドール・デ・フフイ,アルゼンチン
America,アメリカ,America/Argentina/La_Rioja,La Rioja,Argentina,ラ・リオハ,アルゼンチン
America,アメリカ,America/Argentina/Mendoza,Mendoza,Argentina,メンドーサ,アルゼンチン
America,アメリカ,America/Argentina/Rio_Gallegos,Rio Gallegos,Argentina,リオガイェゴス,アルゼンチン
America,アメリカ,America/Argentina/Salta,Salta,Argentina,サルタ,アルゼンチン
America,アメリカ,America/Argentina/San_Juan,San Juan,Argentina,サンフアン,アルゼンチン
America,アメリカ,America/Argentina/San_Luis,San Luis,Argentina,サンルイス,アルゼンチン
America,アメリカ,America/Argentina/Tucuman,San Miguel de Tucumán,Argentina,サン・ミゲル・デ・トゥクマン,アルゼンチン
America,アメリカ,America/Argentina/Ushuaia,Ushuaia,Argentina,ウシュアイア,アルゼンチン
America,アメリカ,America/Aruba,Oranjestad,Aruba,オラニエスタッド,アルバ
America,アメリカ,America/Asuncion,Asunción,Paraguay,アスンシオン,パラグアイ
America,アメリカ,America/Atikokan,Atikokan,Canada,アティコカン,カナダ
America,アメリカ,America/Bahia,Salvador,Brazil,サルバドル,ブラジル
America,アメリカ,America/Bahia_Banderas,Bahía de Banderas,Mexico,バンデラス湾,メキシコ
America,アメリカ,America/Barbados,Bridgetown,Barbados,ブリッジタウン,バルバドス
America,アメリカ,America/Belem,Belem,Brazil,ベレム,ブラジル
America,アメリカ,America/Belize,Belize City,Belize,ベリーズシティ,ベリーズ
America,アメリカ,America/Blanc-Sablon,Blanc-Sablon,Canada,ブランサブロン,カナダ
America,アメリカ,America/Boa_Vista,Boa Vista,Brazil,ボアビスタ,ブラジル
America,アメリカ,America/Bogota,Bogotá,Colombia,ボゴタ,コロンビア
America,アメリカ,America/Boise,Boise,U.S.A.,ボイシ,米国
America,アメリカ,America/Cambridge_Bay,Cambridge Bay,Canada,ケンブリッジベイ,カナダ
America,アメリカ,America/Campo_Grande,Campo Grande,Brazil,カンポグランデ,ブラジル
America,アメリカ,America/Cancun,Cancun,Mexico,カンクン,メキシコ
America,アメリカ,America/Caracas,Caracas,Venezuela,カラカス,ベネズエラ
America,アメリカ,America/Cayenne,Cayenne,French Guiana,カイエンヌ,仏領ギアナ
America,アメリカ,America/Cayman,George Town,Cayman Islands,ジョージタウン,ケイマン諸島
